ts_code,name,industry,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio,reversal_candidate_score
688200.SH,华峰测控,半导体,-5.2105,-0.07824982288129378,-0.1842162162162162,-0.21066945606694554,4.0,2,-6.88548864758144,8.175057783137378,1452113.089,-0.0054001372616234245,54.8016751297513
002272.SZ,川润股份,机械基件,-5.4249,-0.06324298621017599,-0.18257261410788395,-0.21010425020048118,4.0,2,-6.413301662707848,7.201152184349496,1005904.64896,-0.012650065802117583,54.446110423853376
688387.SH,信科移动-U,通信设备,-5.3903,-0.1269296740994854,-0.1829855537720707,-0.20468750000000002,4.0,2,-4.443053817271592,5.328376703841385,1146730.565,-0.004946820267235135,54.10250603843825
688343.SH,云天励飞-U,软件服务,-3.7783,-0.11176945865876664,-0.17239648682559605,-0.21081598468533147,5.0,5,-3.988355167394486,4.930707512764399,734759.642,-0.0001669933853008227,53.89631241666321
002025.SZ,航天电器,元器件,-5.7252,-0.11613181752770174,-0.1992177314211213,-0.16560249966037222,4.0,2,-5.739717618170648,7.168073676132006,1153005.72105,-0.012491429779623286,53.88240876907237
300346.SZ,南大光电,半导体,-4.3267,-0.12290999644254708,-0.191639344262295,-0.17789263087695895,4.0,2,-4.437984496124026,6.441598758246022,2168781.42249,-0.010257977023086836,53.50597648332364
301018.SZ,申菱环境,专用机械,-7.2366,-0.12563309873051365,-0.2053918345388247,-0.18557774782502134,4.0,2,-7.693910145128802,9.09281228192603,1480433.3196,-0.013964181788063012,52.588821679414025
688652.SH,京仪装备,半导体,-3.49,-0.09743306651945882,-0.15339805825242714,-0.23656102258798806,5.0,5,-3.7315080591742045,5.172286578617274,726078.113,-0.0035831544201911465,52.52936598363555
300782.SZ,卓胜微,半导体,-7.1693,-0.14208771479866633,-0.1856029865281611,-0.22807692307692307,4.0,2,-8.681408681408687,9.962997224791856,2521329.64588,-0.007188508662330862,52.44031440389818
002149.SZ,西部材料,小金属,-5.6777,-0.13643292682926822,-0.19048299514146905,-0.18005500072369385,3.0,2,-3.9830508474576254,7.5424575424575435,2338400.92517,-0.0059618262420018855,52.27941553087594
001393.SZ,维通利,电气设备,3.9733,-0.06721088435374145,-0.08574476596879577,-0.36530272171820033,4.0,0,3.9733090688504724,8.295420078859568,590009.74783,0.003573042662012787,52.24673804535862
688518.SH,联赢激光,专用机械,-5.7122,-0.1504885993485342,-0.19926312557568315,-0.14463758609380128,4.0,3,-5.16363636363637,7.230657989877079,541184.695,-0.00936087078367948,52.21964774955971
688019.SH,安集科技,半导体,-5.7102,-0.14344157504474553,-0.18595468076058574,-0.17243083003952564,4.0,4,-6.509453708225776,7.420047144917858,1783362.835,-0.0010591955618498706,52.064190548943785
603650.SH,彤程新材,化工原料,-2.4722,-0.08929849677881174,-0.17760180995475117,-0.1906806615776082,4.0,2,-2.153432032301472,4.101188194710619,511566.565,-0.0009051021542035261,52.020968513755456
688596.SH,正帆科技,专用机械,-6.0651,-0.07613967022308443,-0.17710583153347725,-0.24118701453893643,4.0,2,-6.457156886815607,7.5443786982248575,525950.178,0.001062952392422233,51.97613674392567
301382.SZ,蜂助手,互联网,1.7383,-0.0829162132752993,-0.18349157140089123,-0.17469643556600079,4.0,0,0.095011876484552,5.2390149686142005,517734.8978,0.009889752500280444,51.89048551598024
002792.SZ,通宇通讯,通信设备,-6.0417,-0.13811304156586768,-0.19028925619834713,-0.20603727714748787,4.0,2,-3.7100737100737247,5.010788779669135,1138591.33971,-0.012762673922762459,51.50952293965599
300655.SZ,晶瑞电材,半导体,-3.2558,-0.13074626865671635,-0.18568232662192385,-0.16321839080459766,4.0,2,-2.868579052701803,4.850498338870435,749825.55075,-0.01187420192749411,51.25654165245912
300604.SZ,长川科技,半导体,-3.392,-0.07520435967302452,-0.17887096774193556,-0.15697963238946855,5.0,5,-2.564593301435414,7.291617249395135,5576107.03093,0.001224743349099776,50.75759427140408
300118.SZ,东方日升,电气设备,-1.2857,-0.1008458035133376,-0.15783059110298603,-0.21832579185520362,4.0,2,-1.2151536812008534,3.857142857142864,622548.98656,-0.013168762903784539,50.6492322211462
300065.SZ,海兰信,船舶,-2.4073,-0.09143881667413711,-0.17332789559543227,-0.18266129032258072,4.0,2,-1.4584346135148363,3.514684641309583,633178.23746,-0.016597238152336012,50.57872995667959
603119.SH,浙江荣泰,汽车配件,2.4298,-0.08826709921600429,-0.18998438813498253,-0.12277279230068927,4.0,0,2.5075987841945313,7.593014426727411,1577579.944,-0.007219108003568784,50.55989418128104
688535.SH,华海诚科,半导体,-5.0254,-0.09555502733539334,-0.16678832116788322,-0.19203001132502828,4.0,2,-5.0253764872285505,8.420001664031954,969634.765,-0.007742141960019335,50.1688144323012
