ts_code,name,industry,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,ret_0601,gap_0601,intraday_0601,amp_0601,amount_0601,rebound_score
600903.SH,贵州燃气,供气供热,-1.9916,-0.06779661016949146,-0.10268714011516322,-0.03508771929824561,4.0,3,5.0267,0.3208556149732811,4.690831556503183,11.122994652406408,616562.07,24.68923259207118
301379.SZ,天山电子,元器件,-6.1644,-0.09107358262967424,-0.08472517461281504,-0.19968135953266053,3.0,1,4.9768,0.6303915063039067,4.319155951203446,9.190444591904443,531028.88293,20.808038929139528
300229.SZ,拓尔思,软件服务,-2.7582,-0.07790762381747351,-0.09798584648884057,-0.15372829417773226,4.0,4,4.828,0.48280024140010536,4.324324324324347,8.207604103802048,566048.11351,23.78286374082304
300377.SZ,赢时胜,软件服务,-3.5486,-0.08237677245104658,-0.15537600994406464,-0.20386643233743407,4.0,1,4.7829,0.9565857247976428,3.790087463556846,6.916850625459907,505903.66259,30.366484925066178
601678.SH,XD滨化股,化工原料,-3.5842,-0.04778761061946912,-0.12091503267973858,-0.13085621970920847,5.0,5,4.6816,-0.743494423791824,4.681647940074907,7.1161048689138555,895480.364,28.095907891606082
000417.SZ,合百集团,百货,-1.4455,-0.1952789699570816,-0.267578125,-0.13394919168591224,4.0,4,4.6667,-1.3333333333333308,6.0810810810810745,10.133333333333331,811626.95647,44.88327554054054
301188.SZ,力诺药包,玻璃,-4.3891,-0.0587973273942094,-0.1401831129196338,0.05623594101474638,4.0,1,4.638,3.0998580217699967,1.4918521918751315,10.506389020350209,1099449.72505,24.278299646293625
000062.SZ,深圳华强,元器件,-6.8712,-0.13428401663695766,-0.15853306381749932,-0.10914093549373283,4.0,4,4.5642,0.13726835964309458,4.420836189170663,8.647906657515442,1384358.17347,30.88574575268525
688809.SH,强一股份,半导体,-6.3926,-0.11491935483870963,-0.1254980079681275,-0.08452025942068275,3.0,1,4.4032,2.0000000000000018,2.3560677118227735,8.856492027334852,1458700.849,24.260354812086682
300720.SZ,海川智能,电器仪表,-0.5839,-0.037138927097661756,-0.09819639278557113,-0.1125510635300746,3.0,1,4.3333,-1.5714285714285792,5.999032414126759,12.380952380952376,587279.1352,22.749723341331915
001393.SZ,维通利,电气设备,-6.9958,-0.10297918650523752,-0.20621162874683996,-0.29551282051282046,5.0,7,3.9733,0.0,3.9733090688504724,8.295420078859568,590009.74783,37.41068998404603
300253.SZ,卫宁健康,软件服务,-2.8501,-0.06443914081145596,-0.09048723897911826,-0.14875135722041266,4.0,1,3.9541,0.0,3.9540816326530726,5.867346938775499,592300.65078,21.998789493820727
300677.SZ,英科医疗,医疗保健,-0.3669,-0.04965004374453186,-0.08197760405662358,-0.13858049167327513,5.0,9,3.7745,0.0,3.7744533947065673,5.960874568469513,817574.30635,22.244139184148114
300634.SZ,彩讯股份,软件服务,-1.8168,-0.07602764641687887,-0.08203830863751371,-0.1286449399656947,5.0,5,3.7402,1.8503937007874116,1.8554310011596353,6.535433070866143,839890.9452,21.264472537081463
301531.SZ,春光集团,矿物制品,-7.6437,-0.1223216388038616,-0.18094924192485162,-0.2690459849004805,3.0,1,3.7022,0.871898054996656,2.8058510638297784,6.532528504359497,636544.98528,30.57859456289708
603505.SH,金石资源,化工原料,-6.9827,-0.12804586717630195,-0.19815465729349746,-0.15352504638218922,5.0,5,3.4521,-5.3698630136986285,9.322524609148818,12.109589041095894,516462.972,38.7015011797941
301128.SZ,强瑞技术,专用机械,-3.6282,-0.05748876875047593,-0.09971634300676413,-0.10010905125408953,3.0,1,3.4174,1.2199062853449627,2.170963364993206,8.91904992729036,887331.57642,20.2853628433083
002036.SZ,联创电子,元器件,-5.8282,-0.1456400742115026,-0.10582524271844662,0.04303510758776907,3.0,3,3.3659,-1.9543973941368198,5.4263565891472965,8.794788273615639,821001.84161,19.604927420787245
603538.SH,美诺华,化学制药,-0.9231,0.0672348484848484,-0.10626486915146705,-0.11224891689641592,4.0,2,3.3496,-3.4605146406388565,7.054227941176472,8.762200532386858,1360870.913,24.958578268764285
002326.SZ,永太科技,化工原料,-2.9081,-0.0625,-0.14674361088211052,-0.07382550335570481,5.0,5,3.3333,-0.24154589371980784,3.5835351089588574,6.473429951690821,558463.39357,29.56764086033269
600346.SH,恒力石化,石油加工,-0.29,-0.0802568218298555,-0.07231516459794929,-0.14221556886227538,4.0,3,3.3159,1.7452006980802626,1.543739279588352,5.3519488074461785,978157.549,18.10240939154809
688268.SH,华特气体,化工原料,-6.0407,-0.09430379746835449,-0.12680009763241396,-0.18895941963273633,3.0,2,3.1796,1.7470300489168311,1.407967032967039,9.783368273934311,1378202.905,22.96367523237319
300766.SZ,每日互动,互联网,-3.2997,-0.047782874617737,-0.08452774715178246,-0.15901417960837272,4.0,1,3.0911,-0.04014452027298887,3.1325301204819356,5.780810919309505,590760.52559,20.182474718454863
603444.SH,吉比特,互联网,0.29,-0.02370518514161346,-0.06519290340749095,-0.1262864211828495,3.0,0,3.0426,0.0,3.0426269016418095,4.10604006627504,641400.501,16.27854185971982
300432.SZ,富临精工,汽车配件,-3.9966,-0.05035372451102793,-0.07536466774716366,-0.04877032096706957,4.0,2,2.9798,0.7887817703768674,2.1739130434782705,6.485539000876426,1037091.76674,18.514556651398777
300302.SZ,同有科技,IT设备,-5.0774,0.04956140350877192,-0.10290534208059987,-0.19427609427609427,3.0,1,2.9043,2.3819473464270713,0.5102040816326481,5.119097367321345,1854659.54306,19.42718309048831
300709.SZ,精研科技,元器件,-8.0898,-0.08976510067114096,-0.11392405063291133,-0.13060897435897445,4.0,1,2.9032,0.11520737327190833,2.784810126582271,6.428571428571426,505635.75899,23.385851139240494
000034.SZ,神州数码,软件服务,-1.6368,-0.07283817725152497,-0.11111111111111116,-0.16537467700258401,3.0,1,2.9025,2.1284829721362364,0.7578628268283483,5.301857585139323,1868270.18452,20.534264746747514
002600.SZ,领益智造,元器件,-8.7774,-0.0802781289506953,-0.10790925812385033,-0.13956238911886454,4.0,1,2.8866,0.27491408934707806,2.604523646333101,5.773195876288659,3965562.08176,22.56065279802859
603893.SH,瑞芯微,半导体,-9.05,-0.10299223856209161,-0.10023560745748827,-0.08979274611398969,3.0,2,2.8406,1.3263505436329481,1.4943820224719184,7.172539420504352,3366973.173,19.547943906134552
688717.SH,艾罗能源,电气设备,-6.0573,-0.07442273534635879,-0.15185546875,-0.16856800957319507,4.0,1,2.725,1.7846862406447839,0.9238310708898911,8.587603147188643,707982.735,26.864571785444944
002261.SZ,拓维信息,软件服务,-3.8237,-0.07968992248062012,-0.07911883338504488,-0.14417531718569776,3.0,1,2.6954,0.20215633423179558,2.488231338264968,3.807277628032342,1566598.09589,17.394695675337868
002457.SZ,青龙管业,塑料,9.9641,0.03288364249578413,-0.08582089552238803,-0.03467297084318355,4.0,0,2.6939,0.9795918367346834,1.6976556184316927,7.91836734693878,755537.47648,14.30245527190241
600989.SH,宝丰能源,化工原料,-3.6918,-0.045725646123260355,-0.09570459683496602,-0.14560341758632966,4.0,3,2.625,0.12499999999999734,2.4968789013732673,3.8749999999999987,1731536.497,20.832991070882557
002150.SZ,正泰电源,机械基件,-6.3615,-0.045454545454545414,-0.07352941176470584,-0.03669724770642213,4.0,2,2.5079,-1.746031746031751,4.329563812600967,10.761904761904765,787110.37844,18.994631318065185
603119.SH,浙江荣泰,汽车配件,-5.8882,-0.19890510948905116,-0.1758448060075095,-0.11301185344827591,4.0,4,2.4298,-0.07593014426726663,2.5075987841945313,7.593014426727411,1577579.944,30.29901611299841
002342.SZ,巨力索具,机械基件,-5.9117,-0.06919275123558488,-0.14198936977980248,-0.28208386277001263,4.0,1,2.3894,0.0,2.3893805309734395,4.955752212389369,1023212.9848,26.144934639063017
002635.SZ,安洁科技,元器件,-3.4243,-0.09417528579205225,-0.11957671957671945,-0.05775764439411091,4.0,4,2.1635,-0.18028846153846922,2.3479831426851394,5.829326923076916,586231.42021,23.2539979205489
002407.SZ,多氟多,化工原料,-4.0433,-0.07111356119073864,-0.2107728337236534,-0.09359870898332423,5.0,5,2.1365,0.20771513353115,1.924785312407451,5.637982195845693,4414415.54905,35.46433270304213
603026.SH,石大胜华,化工原料,-2.6316,-0.04466717507353746,-0.09793231149058734,-0.09737519300051478,5.0,7,2.1211,0.4675561637586867,1.6458569807037415,5.66769300946516,1065081.759,21.771685869222352
001339.SZ,智微智能,IT设备,-2.4665,-0.018590167028404214,-0.0863568479311253,-0.04587155963302747,4.0,1,2.0865,0.9615384615384581,1.114285714285712,7.461538461538467,1547386.083,18.58916460887789
600986.SH,浙文互联,互联网,-0.2257,-0.019955654101995512,-0.06256627783669144,-0.13587487781036178,4.0,1,2.0362,-1.0180995475113086,3.0857142857142916,6.334841628959281,878065.974,16.679770483260118
000833.SZ,粤桂股份,综合类,0.4301,-0.027083333333333237,-0.09249902837155066,-0.1390117994100295,4.0,0,2.0128,0.8137044967879925,1.1894647408666081,3.169164882226974,571517.94237,19.304855775019384
601100.SH,恒立液压,工程机械,-2.6586,-0.027800053461641272,-0.0678342588637334,-0.028924884300462805,3.0,1,2.0071,2.0071487489689233,0.0,5.572358170653467,1342775.584,14.245791063648008
002131.SZ,利欧股份,互联网,-1.3201,-0.03548387096774186,-0.10075187969924815,-0.19189189189189182,4.0,1,2.0067,-1.6722408026755953,3.741496598639449,7.357859531772581,2323577.00207,21.566333863229502
