kind,tag,n,k,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days
single,lstm_ic_h384_l2_w20,10,1,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.7820995937938034,-6.977592267619169,-0.1107539211524573,15
single,lstm_ic_large,20,2,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.8506123132118261,-6.9824973686494936,-0.12642270831378866,15
ensemble,ens_large_h384l2,10,2,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8943642320773693,-7.011318990102809,-0.1436192257725034,15
ensemble,ens_all_long_lstm,15,5,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8379559587189059,-7.012640523027482,-0.11568412451298526,15
single,lstm_ic_h256_l3_w40,5,1,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8491183828918489,-7.019185998741116,-0.1442676918355138,15
single,lstm_ic_large,10,3,-0.024380830099974878,-0.018462517029238137,-4.066519620309967,0.578509833191954,16,33.15398034192185,-0.9060248027503842,-7.059219802224314,-0.1434299460845796,15
ensemble,ens_large_h384l2,30,3,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8401461048320081,-7.073718403193983,-0.12323991440853155,15
single,lstm_ic_h384_l3_w20,5,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.951697352204855,-7.087042844550436,-0.22040821104015484,15
single,lstm_ic_h384_l2_w20,30,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8373638054832575,-7.118946996428121,-0.12301872163072691,15
single,lstm_ic_h384_l3_w20,5,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9406675245024999,-7.134999287981721,-0.2108947619575946,15
ensemble,ens_all_long_lstm,30,2,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8396585481964512,-7.146060546425055,-0.11712061427262832,15
ensemble,ens_large_h384l2,30,2,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8434085497021236,-7.1575293349281806,-0.12386484119966434,15
ensemble,ens_all_long_lstm,15,1,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8504876073555965,-7.162632476504184,-0.11754119662448337,15
single,lstm_ic_h384_l3_w20,5,5,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9542096787424055,-7.21063629543232,-0.22270717292960962,15
single,lstm_ic_h384_l2_w20,15,2,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.803500198575456,-7.212961255829733,-0.11401888093857959,15
ensemble,ens_all_long_lstm,15,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8639375664455156,-7.215054837987958,-0.12338848648839729,15
ensemble,ens_large_h384l2,5,1,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.9585211967851004,-7.2199763903565195,-0.19687681250663835,15
ensemble,ens_all_long_lstm,30,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8441582495456196,-7.242119261537294,-0.11870099154366487,15
ensemble,ens_all_long_lstm,20,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8558360820866344,-7.280649189443222,-0.12101054580402448,15
single,lstm_ic_h384_l2_w20,15,1,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8215910807206156,-7.283108507217329,-0.11894911591504564,15
ensemble,ens_large_h384l2,20,1,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8648595891209084,-7.297341942447821,-0.13292248081604785,15
ensemble,ens_large_h384l2,15,2,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8786820266204513,-7.392759603905754,-0.13283009741245644,15
single,lstm_ic_h384_l2_w20,15,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8740855142950821,-7.395570344016161,-0.13756633409864882,15
single,lstm_ic_h384_l3_w20,30,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8456229270423448,-7.42261429183136,-0.12477863722157412,15
ensemble,ens_all_long_lstm,20,1,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8368706532523749,-7.519154403630865,-0.11375110286107937,15
single,lstm_ic_h256_l3_w40,30,2,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.781380944261673,-7.527316816691588,-0.10476334418798139,15
ensemble,ens_all_long_lstm,10,3,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.875873396628067,-7.52892953917567,-0.12843630314900878,15
ensemble,ens_all_long_lstm,10,2,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8801644258605245,-7.549104178731531,-0.12966918048403042,15
single,lstm_ic_h256_l3_w40,15,3,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8209522963178664,-7.60961759745223,-0.11846863940631192,15
ensemble,ens_all_long_lstm,20,2,-0.04366836222626301,-0.018265994339429607,-5.554460888259032,0.4216307280213829,16,29.05462869784969,-0.8751200000761152,-7.638003337168643,-0.12845844244123128,15
single,lstm_ic_h384_l2_w20,20,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.8667133492466039,-7.653943713248887,-0.13499320013820382,15
single,lstm_ic_h384_l2_w20,10,3,-0.021394011181206384,-0.01112608170424015,-3.5360020513936425,0.422090971336922,16,31.371597184261198,-0.9050624961538557,-7.689235283015067,-0.15495251966197932,15
ensemble,ens_large_h384l2,30,5,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.871047979199825,-7.751326206035791,-0.13374619396117715,15
ensemble,ens_large_h384l2,20,3,-0.038933777907811065,-0.014945213704146493,-5.3824118391576095,0.42149016680804596,16,18.93807462874975,-0.8729492233959262,-7.780584277564992,-0.13591791019923372,15
single,lstm_ic_final_h384_l2_w20,30,3,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8379575207164512,-7.842022303099924,-0.10819483315726786,15
