tag,direction,n,k,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,top10_abs_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days
lstm_ic_h384_l2_w20,inverse,5,2,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.8252825018200338,-3.1855595704826354,-0.1292573017573697,15
lstm_ic_h256_l3_w40,inverse,30,5,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.6927001427404016,-3.2523584685863267,-0.10398071775873141,15
lstm_ic_h384_l2_w20,forward,3,2,-0.053009816132149834,-0.029516807110983173,-7.703465158779888,0.4319368109601608,16,13.913133764617674,-61.11251907623227,-0.7231137973010231,-3.3032179566235995,-0.14681235519274138,15
lstm_ic_h384_l2_w20,inverse,20,10,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.6946185419774111,-3.3324636592816357,-0.10464003325616533,15
lstm_ic_h384_l3_w20,inverse,20,5,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.7543406698472526,-3.4366786056816157,-0.13042989934593652,15
lstm_ic_h256_l3_w40,inverse,15,1,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.7565339968226547,-3.4443579109659113,-0.11423947951283664,15
lstm_ic_h384_l2_w20,forward,3,1,-0.053009816132149834,-0.029516807110983173,-7.703465158779888,0.4319368109601608,16,13.913133764617674,-61.11251907623227,-0.69044972252439,-3.4766785803697116,-0.13544335907287897,15
lstm_ic_large,forward,5,1,-0.055187056087772295,-0.03650761826877622,-8.050521069730863,0.5684074692265031,16,18.47944459314021,-29.125307682079438,-0.6581737970014974,-3.4810356184644444,-0.08547321466658997,15
lstm_ic_h256_l3_w40,inverse,30,3,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.6992943496687627,-3.5785769544029087,-0.10437748277203152,15
lstm_ic_h256_l3_w40,inverse,20,3,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.736454734854073,-3.611321380449091,-0.10726150089791586,15
lstm_ic_h384_l2_w20,inverse,10,3,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.764660108338241,-3.6852102364862835,-0.12436343650796733,15
lstm_ic_h384_l3_w20,inverse,3,3,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.924046280411263,-3.700072171547014,-0.20935771039750295,15
lstm_ic_h384_l3_w20,inverse,20,10,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.7373630087761989,-3.7305034702780495,-0.11473740807417909,15
lstm_ic_large,inverse,15,1,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.7861825299911783,-3.7499750981355997,-0.11163818490739985,15
lstm_ic_h256_l3_w40,inverse,10,1,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.8628890818033208,-3.9100760336976315,-0.1473064234453727,15
lstm_ic_h256_l3_w40,inverse,5,1,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.9213266123895933,-4.089538761079666,-0.17232192444365224,15
lstm_ic_h256_l3_w40,inverse,3,2,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.9782213038985994,-4.089992126990811,-0.22458967141559327,15
lstm_ic_large,inverse,10,2,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.8420755589056469,-4.118892661673969,-0.1431522381282042,15
lstm_ic_h256_l3_w40,inverse,30,10,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.7128356902010758,-4.148058256261135,-0.09823702306661675,15
lstm_ic_h384_l2_w20,inverse,10,5,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.7985641865754263,-4.17676810514379,-0.13890680997167704,15
lstm_ic_h384_l2_w20,inverse,10,2,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.7856654787280491,-4.211210740208993,-0.11189057510809519,15
lstm_ic_large,forward,3,1,-0.055187056087772295,-0.03650761826877622,-8.050521069730863,0.5684074692265031,16,18.47944459314021,-29.125307682079438,-0.7947104565432115,-4.21409915766544,-0.12176566238837427,15
lstm_ic_h256_l3_w40,inverse,15,3,0.047726372062765726,0.03343103133692727,7.352879377395689,0.5658033541842851,16,64.14150222190074,-29.92695501598063,-0.8289956084702622,-4.320040883437078,-0.1308443739947499,15
lstm_ic_h384_l3_w20,inverse,5,1,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.9031836140893607,-4.4014388207108865,-0.17726160438353522,15
