tag,source,month,direction,n_days,ic,rank_ic,top10_abs_bp,top_bottom_bp
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-07,forward,23,0.12726037895388104,0.12357967181592422,12.496604568972863,225.54376329492732
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-07,inverse,23,-0.12726037895388104,-0.12357967181592422,-213.0471587259545,-225.54376329492732
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-08,forward,21,0.06923748890449566,0.05880811597602201,-1.4661353890828448,115.84472315596594
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-08,inverse,21,-0.06923748890449566,-0.05880811597602201,-117.31085854504877,-115.84472315596594
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-09,forward,22,0.07513483949342849,0.06230172779891083,11.750971009446816,161.363980748733
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-09,inverse,22,-0.07513483949342849,-0.06230172779891083,-149.61300973928616,-161.363980748733
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-10,forward,17,0.11599312410388006,0.10548466592635673,48.02496077643489,192.19707011464328
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-10,inverse,17,-0.11599312410388006,-0.10548466592635673,-144.17210933820837,-192.19707011464328
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-11,forward,20,0.08354847788181667,0.07452998355063184,-28.55056412663544,133.7924838066101
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-11,inverse,20,-0.08354847788181667,-0.07452998355063184,-162.34304793324557,-133.7924838066101
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-12,forward,23,0.08236801319889253,0.07068292123432118,-0.6080582312753678,108.44146694264215
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-12,inverse,23,-0.08236801319889253,-0.07068292123432118,-109.04952517391752,-108.44146694264215
lstm_ic_h256_l3_w40,pre_may_default_censor,2026-01,forward,20,0.06995165962230283,0.07460609696747347,10.427348696975972,120.96367050835397
lstm_ic_h256_l3_w40,pre_may_default_censor,2026-01,inverse,20,-0.06995165962230283,-0.07460609696747347,-110.53632181137802,-120.96367050835397
lstm_ic_h256_l3_w40,pre_may_default_censor,2026-02,forward,14,0.0574863951955154,0.05164040499185681,-14.788006299308373,63.05058592364991
lstm_ic_h256_l3_w40,pre_may_default_censor,2026-02,inverse,14,-0.0574863951955154,-0.05164040499185681,-77.83859222295827,-63.05058592364991
lstm_ic_h256_l3_w40,pre_may_default_censor,2026-03,forward,22,0.11008343070089452,0.1018480836681943,-18.298941090258516,133.8969041640997
lstm_ic_h256_l3_w40,pre_may_default_censor,2026-03,inverse,22,-0.11008343070089452,-0.1018480836681943,-152.19584525435823,-133.8969041640997
lstm_ic_h256_l3_w40,pre_may_default_censor,2026-04,forward,20,0.032099934400873054,0.03418500477149204,5.7313001772854495,105.46312367368955
lstm_ic_h256_l3_w40,pre_may_default_censor,2026-04,inverse,20,-0.032099934400873054,-0.03418500477149204,-99.7318234964041,-105.46312367368955
lstm_ic_h256_l3_w40,may_no_future_censor,2026-05,forward,16,-0.047726372062765726,-0.03343103133692727,-94.06845723788138,-64.14150222190074
lstm_ic_h256_l3_w40,may_no_future_censor,2026-05,inverse,16,0.047726372062765726,0.03343103133692727,-29.92695501598063,64.14150222190074
lstm_ic_final_h384_l2_w20,pre_may_default_censor,2026-04,forward,20,0.04714953301720117,0.039467931700526274,13.443651990382929,138.33342062716838
lstm_ic_final_h384_l2_w20,pre_may_default_censor,2026-04,inverse,20,-0.04714953301720117,-0.039467931700526274,-124.88976863678546,-138.33342062716838
lstm_ic_final_h384_l2_w20,may_no_future_censor,2026-05,forward,16,-0.054670368782417295,-0.037646332836654535,-71.57052138791187,-14.414500161365135
lstm_ic_final_h384_l2_w20,may_no_future_censor,2026-05,inverse,16,0.054670368782417295,0.037646332836654535,-57.15602122654673,14.414500161365135
